ATP7B,copper(1+),SOD2,ENO3,ENDOD1,ACKR2
ATP7B,copper(1+),SOD1,RNF112,GPR143
ATP7B,ZBTB16,CDK1,CKS2,DCST1
ATP7B,ZBTB16,MAP3K3,STUB1,GALR1
ATP7B,NRG1,S100A4,WDFY3
ATP7B,GOLGA1,VAMP2,EXOC3,SLC10A7
ATP7B,copper(1+),SOD1,RNF112,WDR13
ATP7B,ZBTB16,EEF1A1,ECPAS,TJP3
ATP7B,NRG1,EGFR,IFIT5
ATP7B,copper(1+),SOD1,RNF112,PHPT1
ATP7B,ZBTB16,HTT,HADHA,SGPP1
ATP7B,ZBTB16,HTT,HADHA,ARL14EP
ATP7B,ZBTB16,HDAC4,RFXANK,SLC16A10
ATP7B,ZBTB16,TP53,RAD51,SDC1
ATP7B,ZBTB16,FHL5,ZBTB33
ATP7B,ZBTB16,ATP6AP2,ATP6V1A
ATP7B,ZBTB16,MAP3K3,STUB1,PRMT9,P2RX1
ATP7B,ZBTB16,MAP3K3,STUB1,PPIP5K1
ATP7B,GOLGA1,GOLGB1,DNAJC5,SPPL3
ATP7B,ZBTB16,NME4,NDUFAB1,APLNR
ATP7B,copper(1+),SOD2,ENO3
ATP7B,GOLGA1,UNK,SPCS1,CNNM4
ATP7B,ZBTB16,CEBPA,C1QBP
ATP7B,ZBTB16,MAP3K3,STUB1,CCR3
ATP7B,copper(1+),SOD1,RNF112,MPDZ,OR1D2
ATP7B,CLU,IKBKB,PSG1,TNFRSF1B
ATP7B,ZBTB16,HDAC5,HNRNPR,PCDHA2
ATP7B,copper(1+),SOD2,ENO3,OSBPL6
ATP7B,ZBTB16,KLK4,KCNIP4,CP
ATP7B,copper(1+),SOD1,RNF112,VPS28
ATP7B,ZBTB16,MAP3K3,STUB1,GLP2R
ATP7B,ZBTB16,TRAF1,TNFRSF13C
ATP7B,copper(1+),SOD1,RNF112,TJP1,CLDN6
ATP7B,GOLGA1,VAMP4,STX8
ATP7B,ZBTB16,SMAD3,PPARG,CD5
ATP7B,ZBTB16,FHL5,ZBTB33,SIDT2
ATP7B,ATOX1,ATP7A,OCLN,SEZ6L2
ATP7B,copper(1+),SOD2,ENO3,ABCC6
ATP7B,ZBTB16,MTDH,CTCF,ABCB6
ATP7B,ZBTB16,MAP3K3,STUB1,F7
ATP7B,CLU,TXNDC11,DUOX2
ATP7B,ZBTB16,TP53,RAD51,GDPD5
ATP7B,NRG1,ERBB2,CDH2
ATP7B,copper(1+),SOD2,ENO3,GCSH,GLDC
ATP7B,ZBTB16,MAP3K3,STUB1,SVIP
ATP7B,NRG1,MYO19,FLNB
ATP7B,ZBTB16,MTDH,CTCF,SLC27A4
ATP7B,ZBTB16,TP53,RAD51,SLC30A2,SLC30A10
ATP7B,ZBTB16,GATA1,CEBPE
ATP7B,ZBTB16,CEBPA,C1QBP
ATP7B,ZBTB16,TRAF1,TNFRSF13C
ATP7B,ZBTB16,CDK4,EPHA2
ATP7B,ZBTB16,SMAD3,PPARG,PSG3
ATP7B,ZBTB16,MTDH,CTCF,MUC3A
ATP7B,ZBTB16,ESR1,STOM
ATP7B,ZBTB16,UBE2I,PCGF2,BCAM
ATP7B,ZBTB16,MTDH,CTCF,AP2S1
ATP7B,NRG1,NRAS,DHRS7,HJV
ATP7B,NRG1,ERBB2,CDH2
ATP7B,ZBTB16,TRAF1,TNFRSF13C
ATP7B,CLU,DLG4,DRD1
ATP7B,ZBTB16,FHL3,ROR2
ATP7B,NRG1,ERBB2,CDH2
ATP7B,copper(1+),SOD2,ENO3,IRAK4
ATP7B,copper(1+),SOD2,ENO3
ATP7B,CLU,DLG4,DRD1
ATP7B,copper(1+),SOD1,RNF112,TLR1
ATP7B,ZBTB16,UBE2I,PCGF2,PLA2G6
ATP7B,NRG1,EGFR,IFIT5
ATP7B,ZBTB16,LRIG1,PDGFRA,AMIGO1,PROM2
ATP7B,NRG1,NRAS,DHRS7,SPTBN5
ATP7B,ZBTB16,HDAC4,RFXANK,DOK7
ATP7B,ZBTB16,NR3C1,ZFX,CEACAM7
ATP7B,ZBTB16,SMAD3,PPARG,SERPINB3
ATP7B,ZBTB16,ESR1,STOM,PCDHGA5
ATP7B,copper(1+),SOD1,RNF112,KLK10,SERPINB10
ATP7B,ZBTB16,MAP3K3,STUB1,ADGRG3
ATP7B,GOLGA1,GOLGB1,DNAJC5
ATP7B,ATOX1,ATP7A,OCLN,PECAM1
ATP7B,CLU,APP,PPP1R2,GPR42
ATP7B,ZBTB16,HTT,HADHA,SLC20A2
ATP7B,ATOX1,ATP7A,OCLN,TULP3
ATP7B,ZBTB16,MAP3K3,STUB1,FLCN
ATP7B,copper(1+),SOD1,RNF112,KCNV2
ATP7B,ZBTB16,HDAC1,RBL2,RGS11
ATP7B,ZBTB16,LRIG1,PDGFRA,KLRC2
ATP7B,ZBTB16,MAP3K3,STUB1,PTH1R
ATP7B,ZBTB16,KRT40,KPNA2,ALX1,OR52L1
ATP7B,ZBTB16,RXRA,PPARGC1A,SLC9A6
ATP7B,ZBTB16,GATA2,SSBP2,LRCH4
ATP7B,copper(1+),SOD1,RNF112,EPHA6
ATP7B,NRG1,EGFR,IFIT5
ATP7B,NRG1,ERBB2,CDH2
ATP7B,ZBTB16,VTA1,CHMP1B
ATP7B,NRG1,HLA-DPB1,HLA-DPA1
ATP7B,ATOX1,TAGLN2,CFL1,RAB40AL
ATP7B,ZBTB16,TP53,RAD51,CPNE2
